Ba(BrO3)2(H2O)	Barium Bromate Monohydrate
Ba(BrO3)2(H2O)2	Barium Bromate Dihydrate
BaBr2	Barium Bromide
Ba(CHO2)2	Barium Formate
Ba(C2H3O2)2	Barium Acetate
Ba(CN)2	Barium Cyanide
BaC2O4	Barium Oxalate
BaC2	Barium Carbide
BaCO3	Barium Carbonate|Witherite
Ba(ClO4)2	Barium Perchlorate
BaCl2	Barium Chloride
BaCrO4	Barium Chromate|Barium Chromate(vi)
BaF2	Barium Fluoride
BaFeSi4O10	Gillespite
BaHgI4	Barium Tetraiodomercurate(ii)
BaI2	Barium Iodide
BaK2(CrO4)2	Barium Potassium Chromate
BaMnO4	Barium Manganate
Ba(MnO4)2	Barium Permanganate
BaMoO4	Barium Molybdate
BaN6	Barium Azide
Ba(NO2)2	Barium Nitrite
Ba(NO3)2	Barium Nitrate
Ba(NbO3)2	Barium Niobate
BaNb2O6	Barium Metaniobate
BaO	Barium Oxide
Ba(OH)2	Barium Hydroxide|Baryta
BaO2	Barium Peroxide
Ba(PO3)2	Barium Metaphosphate
BaS	Barium Sulfide
Ba(SCN)2	Barium Thiocyanate
BaS2O3	Barium Thiosulfate
BaSiF6	Barium Hexafluorosilicate
BaSO3	Barium Sulfite
BaSO4	Barium Sulfate|Barite
BaSe	Barium Selenide
BaSeO3	Barium Selenite
BaSeO4	Barium Selenate
BaSiO3	Barium Metasilicate
BaSi2	Barium Silicide
BaSi2O5	Barium Disilicate
BaSn3	Barium Stannate
BaTeO3	Barium Tellurite
BaTeO4(H2O)3	Barium Tellurate Trihydrate
BaTiO3	Barium Titanate|Barium Metatitanate
BaU2O7	Barium Uranium Oxide
BaWO4	Barium Tungstate
BaZrO3	Barium Zirconate
Ba2Na(NbO3)5	Barium Sodium Niobate
Ba2P2O7	Barium Pyrophosphate
Ba2V2O7	Barium Pyrovanadate
Ba2XeO6	Barium Perxenate
Ba3(CrO4)2	Barium Chromate(v)
Ba3N2	Barium Nitride
Ba3(PO4)2	Barium Orthophosphate
Ba3(VO4)2	Barium Orthovandate
BeB2	Beryllium Boride
Be(BH4)2	Beryllium Borohydride
BeBr2	Beryllium Bromide
Be(CHO2)2	Beryllium Formate
BeCO3	Beryllium Carbonate
Be(C2H3O2)2	Beryllium Acetate
Be(C5H7O2)2	Beryllium Acetylacetonate
BeCl2	Beryllium Chloride
Be(ClO)2	Beryllium Hypochlorite
Be(ClO3)2	Beryllium Chlorate
Be(ClO4)2	Beryllium Perchlorate
BeF2	Beryllium Fluoride
BeI2	Beryllium Iodide
Be(NO2)2	Beryllium Nitrite
Be(NO3)2	Beryllium Nitrate
BeO	Beryllium Oxide|Bromellite
Be(OH)2	Beryllium Hydroxide
BeS	Beryllium Sulfide
BeSO3	Beryllium Sulfite
BeSO4	Beryllium Sulfate
Be2C	Beryllium Carbide
Be3N2	Beryllium Nitride
BiBO3	Bismuth(iii) Orthoborate
BiBr3	Bismuth(iii) Bromide
Bi(C2H3O2)3	Bismuth(iii) Acetate
BiC6H5O7	Bismuth(iii) Citrate
BiCl3	Bismuth(iii) Chloride
BiF3	Bismuth(iii) Fluoride
BiI3	Bismuth(iii) Iodide
Bi(NO3)3(H2O)5	Bismuth(iii) Nitrate Pentahydrate
BiOCl	Bismuth(iii) Oxychloride
BiOI	Bismuth(iii) Oxyiodide
(BiO)2CO3	Bismuth Oxycarbonate
BiPO4	Bismuth(iii) Orthophosphate
Bi(VO3)5	Bismuth(iii) Metavanadate
Bi2Se3	Bismuth(iii) Selenide|Bismuth Selenide
Bi2(MoO4)3	Bismuth(iii) Molybdate
Bi2O3	Bismuth(iii) Oxide
Bi2S3	Bismuth(iii) Sulfide|Bismuthinite
Bi2Se3	Bismuth(iii) Selenide
BrCl	Bromine Chloride
BrO3	Bromate Ion
Br2	Bromine
Br2O5	Dibromine Pentoxide
CCl2F2	Dichlorodifluoromethane|Freon-12
CCl4	Carbon Tetrachloride|Tetrachloromethane
CFCl3	Freon-11
CFCl2CF2Cl	Freon-13
CHCl3	Chloroform|Trichloromethane|Methyl Trichloride
CHO2	Formate Ion
CH2CHCHCH2	1,3-butadiene
CH2CO	Ketene
CH2CHOH	Ethenol
CH2ClCOOH	Chloroacetic Acid
CH2Cl2	Dichloromethane
CH2O	Formaldehyde
CH2(OH)2	Methanediol
CH2OHCH2OH	Ethylene Glycol
CH3CCH	Propyne
CH3CHCHCH3	2-butene
CH3CHCH2	Propene
CH3CHO	Acetaldehyde
CH3CH2Br	Bromoethane
CH3CH2CH2CH2OH	Butan-1-ol
CH3CH2CH2OH	1-propanol|Propan-1-ol
CH3CH2CONH2	Propanamide
CH3CH2COOH	Propionic Acid
CH3CH2OCH2CH3	Diethyl Ether|Ethoxyethane
CH3CH2OH	Ethanol
CH3(CH2)16COOH	Stearic Acid
CH3COCH3	Acetone
CH3COCl	Acetyl Chloride
CH3CONH2	Acetamide|Ethanamide
CH3COO	Acetate Ion
CH3COOCHCH2	Vinyl Acetate
CH3COOCH2C6H5	Benzyl Acetate
CH3COO(CH2)2CH(CH3)2	Isoamyl Acetate
CH3COOH	Acetic Acid|Ethanoic Acid
CH3COONa	Sodium Acetate
CH3COOK	Potassium Acetate
CH3COORb	Rubidium Acetate
CH3COOCs	Caesium Acetate
(CH3CO)2O	Acetic Anhydride
CH3Cl	Chloromethane|Methyl Chloride
CH3I	Iodomethane|Methyl Iodide
CH3OCH3	Dimethyl Ether
CH3OCs	Caesium Methoxide
CH3OH	Methanol
CH3OK	Potassium Methoxide
CH3OLi	Lithium Methoxide
CH3ONa	Sodium Methoxide
CH3ORb	Rubidium Methoxide
CH3SCH3	Dimethyl Sulfide|Dms
CH3SH	Methanethiol
(CH3)2CHOH	Isopropyl Alcohol|2-propanol|Propan-2-ol|Isopropanol
(CH3)2CO	Acetone
(CH3)2C2O4	Dimethyl Oxalate
(CH3)2NNH2	Dimethyl Hydrazine
(CH3)2SCH2CH2COO	Dimethylsulfoniopropionate|Dmsp
(CH3)3CCl	T-butyl Chloride
(CH)3COH	T-butyl Alcohol
(CH3)3COOC(CH3)3	Di-t-butyl Peroxide|Dtbp
CH4	Methane|Natural Gas
CH4N2O2	Hydroxycarbamide
CN	Cyanide Ion
(CN)2	Cyanogen
C(NH2)3NO3	Guanidine Nitrate
CNO	Cyanate Ion
CO	Carbon Monoxide
COCl2	Phosgene
CO2	Carbon Dioxide
CO3	Carbon Trioxide
CO3	Carbonate Ion
CS2	Carbon Disulfide
C2F4	Tetrafluoroethylene
C2H2	Acetylene
C2H3Cl	Vinyl Chloride
C2H3O2	Acetate Ion
C2H4	Ethylene
C2H4Cl2	Ethylene Dichloride
C2H4N4	3-amino-1,2,4-triazole
C2H4O2	Acetic Acid
C2H5Br	Bromoethane
C2H5NH2	Ethylamine
C2H5NO2	Glycine|Gly
C2H5O	Ethoxide Ion
C2H5OH	Ethanol|Ethyl Alcohol
(C2H5)2NH	Diethylamine
C2H5OCs	Caesium Ethoxide
C2H5OK	Potassium Ethoxide
C2H5ONa	Sodium Ethoxide
C2H5ORb	Rubidium Ethoxide
C2H6	Ethane
C2H6OS	Dimethyl Sulfoxide|Dmso
C2H7NO3S	Taurine
C2O4	Oxalate Ion
C3H3O4	Malonate Ion
C3H4N2	Imidazole
C3H4N2S	Aminothiazole
C3H4O3	Pyruvic Acid
C3H4O4	Malonic Acid
C3H5N3	3-amino-1h-pyrazole
C3H5N3O9	Nitroglycerine
C3H6	Cyclopropane
C3H6	Propylene
